n,m,k,budget,len(output)_avg,len(covered)_avg,epsilon_avg,time_avg,len(output)_std,len(covered)_std,epsilon_std,time_std
200,100,10,1,9.833333333333334,135.43333333333334,0.05699612972353417,0.08923627535502116,2.146055813709316,16.32928521263425,0.04509896967234513,0.01722660556299327
200,100,10,10,10.2,138.4,0.008584960420357345,0.07570745150248209,2.242022896106698,14.81125698019359,0.01035074150111434,0.004095776730490025
200,100,10,100,9.833333333333334,135.06666666666666,0.0,0.08525456587473551,1.674979270186815,13.659998373190078,0.0,0.006672297614389705
500,100,10,1,10.2,316.9,0.08979727170918732,0.45576180617014567,2.11974841274462,38.68707794600156,0.06669823205208608,0.04398799281878877
500,100,10,10,9.633333333333333,299.26666666666665,0.01455736974150265,0.4304664214452108,2.4149994248906608,46.338560856183506,0.016160487515874584,0.002598814428233296
500,100,10,100,9.833333333333334,298.4,0.0007581645957682737,0.44746828079223633,2.6718699236468995,49.74307321962862,0.0019338347968521276,0.0027069793192333155
1000,100,10,1,10.533333333333333,648.9333333333333,0.05368531448717711,12.88172824382782,2.5263060428661888,91.95141229052561,0.035110635104848686,21.609786111225755
1000,100,10,10,9.266666666666667,601.4333333333333,0.00898987829255388,61.14541865984599,2.379542439676633,90.37023231622727,0.010321493784538767,4.666813118586111
1000,100,10,100,9.733333333333333,610.2,0.0005942548719994223,64.88428449630737,2.931817790306136,100.13204615240151,0.001191359955580499,11.364656226290146
1500,100,10,1,10.566666666666666,998.3333333333334,0.02303894083671163,58.558684984842934,2.3192431715731945,113.80783023246785,0.02069105631755936,9.057995023908617
1500,100,10,10,10.266666666666667,985.0666666666667,0.0037451398027843106,49.931834570566814,2.0645150089602695,103.7220430873892,0.0033543670475944995,8.44460041937317
1500,100,10,100,9.766666666666667,954.4,0.00012369648233825358,52.56404852072398,2.3478122203920444,128.7148269107591,0.00046285119256708784,4.381980220884112
1986,100,10,1,10.166666666666666,1303.8333333333333,0.021165331694311087,108.78058807849884,2.017974782355375,145.7582663941302,0.014460905315580239,15.52829148925401
1986,100,10,10,10.433333333333334,1312.1666666666667,0.0025237327616446,98.12355654239654,2.538809869910615,164.16010139156495,0.002450293888701072,13.094674555289826
1986,100,10,100,10.033333333333333,1285.9,4.837929366231138e-05,94.51606713930765,2.428762830926249,199.19912148400658,0.0002605304696243047,16.605562745101683
